"Product Name","Product Category","Associated Partner",Fee,Branches,"Associated Workflow",Enrolled,"In Progress"
"Bachelor of Science",Course,"Queensland University of Technology (QUT)","AUD 109,800.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Science (Biological Sciences)",Course,"Queensland University of Technology (QUT)","AUD 95,100.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Science (Chemistry)",Course,"Queensland University of Technology (QUT)","AUD 118,200.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Science (Earth Science)",Course,"Queensland University of Technology (QUT)","AUD 118,200.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Science (Environmental Science)",Course,"Queensland University of Technology (QUT)","AUD 118,200.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Science (Honours)",Course,"Queensland University of Technology (QUT)","AUD 39,800.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Science (Physics)",Course,"Queensland University of Technology (QUT)","AUD 118,200.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Science / Bachelor of Business",Course,"Queensland University of Technology (QUT)","AUD 157,200.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Media and Communication / Bachelor of Public Health",Course,"Queensland University of Technology (QUT)","AUD 141,600.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Medical Imaging (Honours)",Course,"Queensland University of Technology (QUT)","AUD 144,000.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Medical Laboratory Science",Course,"Queensland University of Technology (QUT)","AUD 176,400.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Nursing",Course,"Queensland University of Technology (QUT)","AUD 108,900.00","Brisbane Campus,Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Nursing/Bachelor of Behavioural Science (Psychology)",Course,"Queensland University of Technology (QUT)","AUD 148,400.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Nursing/Bachelor of Public Health",Course,"Queensland University of Technology (QUT)","AUD 141,600.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Nutrition and Dietetics (Honours)",Course,"Queensland University of Technology (QUT)","AUD 160,800.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Nutrition Science",Course,"Queensland University of Technology (QUT)","AUD 123,000.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Paramedic Science",Course,"Queensland University of Technology (QUT)","AUD 28,200.00","Brisbane Campus,Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Pharmacy (Honours)",Course,"Queensland University of Technology (QUT)","AUD 152,000.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Podiatry",Course,"Queensland University of Technology (QUT)","AUD 166,400.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Property Economics",Course,"Queensland University of Technology (QUT)","AUD 95,400.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Human Services / Bachelor of Public Health",Course,"Queensland University of Technology (QUT)","AUD 138,400.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Human Services/Bachelor of Justice",Course,"Queensland University of Technology (QUT)","AUD 126,400.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Information Technology",Course,"Queensland University of Technology (QUT)","AUD 36,300.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Information Technology (Honours)",Course,"Queensland University of Technology (QUT)","AUD 42,000.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Information Technology / Bachelor of Laws (Honours)",Course,"Queensland University of Technology (QUT)","AUD 181,500.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Information Technology/Bachelor of Mathematics",Course,"Queensland University of Technology (QUT)","AUD 142,800.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Justice",Course,"Queensland University of Technology (QUT)","AUD 94,200.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Justice (Honours)",Course,"Queensland University of Technology (QUT)","AUD 33,000.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Justice / Bachelor of Laws (Honours)",Course,"Queensland University of Technology (QUT)","AUD 169,950.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Justice/Bachelor of Laws",Course,"Queensland University of Technology (QUT)","AUD 169,950.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Laws (Honours)",Course,"Queensland University of Technology (QUT)","AUD 121,200.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Mathematics",Course,"Queensland University of Technology (QUT)","AUD 102,300.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Mathematics (Honours)",Course,"Queensland University of Technology (QUT)","AUD 42,600.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Education (Secondary) / Bachelor of Information Technology",Course,"Queensland University of Technology (QUT)","AUD 160,650.00","Brisbane Campus,Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Engineering (Honours)",Course,"Queensland University of Technology (QUT)","AUD 166,000.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) / Bachelor of Information Technology",Course,"Queensland University of Technology (QUT)","AUD 192,500.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) / Bachelor of Mathematics",Course,"Queensland University of Technology (QUT)","AUD 190,500.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) / Bachelor of Science",Course,"Queensland University of Technology (QUT)","AUD 209,000.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Fine Arts",Course,"Queensland University of Technology (QUT)","AUD 97,500.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Fine Arts / Bachelor of Laws (Honours)",Course,"Queensland University of Technology (QUT)","AUD 168,300.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Games and Interactive Environments",Course,"Queensland University of Technology (QUT)","AUD 110,100.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Games and Interactive Environments /Bachelor of Mathematics",Course,"Queensland University of Technology (QUT)","AUD 141,600.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Health Information Management",Course,"Queensland University of Technology (QUT)","AUD 99,300.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Human Services",Course,"Queensland University of Technology (QUT)","AUD 94,800.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Human Services / Bachelor of Business",Course,"Queensland University of Technology (QUT)","AUD 125,600.00","Brisbane Campus,Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Design (Architecture) / Bachelor of Engineering (Honours)",Course,"Queensland University of Technology (QUT)","AUD 212,850.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Design (Architecture) / Bachelor of Property Economics",Course,"Queensland University of Technology (QUT)","AUD 152,550.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Design (Interior Architecture) / Bachelor of Property Economics",Course,"Queensland University of Technology (QUT)","AUD 135,600.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Design (International)",Course,"Queensland University of Technology (QUT)","AUD 144,800.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Design / Bachelor of Engineering (Honours)",Course,"Queensland University of Technology (QUT)","AUD 194,000.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Design / Bachelor of Information Technology",Course,"Queensland University of Technology (QUT)","AUD 144,400.00","Brisbane Campus,Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Design / Bachelor of Laws(Honours)",Course,"Queensland University of Technology (QUT)","AUD 182,600.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Design / Bachelor of Urban Development (Honours)",Course,"Queensland University of Technology (QUT)","AUD 147,840.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Education (Early Childhood)",Course,"Queensland University of Technology (QUT)","AUD 132,000.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Education (Primary)",Course,"Queensland University of Technology (QUT)","AUD 132,000.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Education (Secondary)",Course,"Queensland University of Technology (QUT)","AUD 132,400.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Education (Secondary) / Bachelor of Business",Course,"Queensland University of Technology (QUT)","AUD 142,650.00","Brisbane Campus,Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Education (Secondary) / Bachelor of Fine Arts",Course,"Queensland University of Technology (QUT)","AUD 147,150.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Communication",Course,"Queensland University of Technology (QUT)","AUD 94,200.00","Brisbane Campus,Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Communication / Bachelor of Information Technology",Course,"Queensland University of Technology (QUT)","AUD 135,600.00","Brisbane Campus,Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Communication / Bachelor of Justice",Course,"Queensland University of Technology (QUT)","AUD 126,000.00","Brisbane Campus,Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Communication / Bachelor of Laws (Honours)",Course,"Queensland University of Technology (QUT)","AUD 169,950.00","Brisbane Campus,Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Communication / Bachelor of Nutrition Science",Course,"Queensland University of Technology (QUT)","AUD 145,600.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Communication / Bachelor of Public Health",Course,"Queensland University of Technology (QUT)","AUD 140,800.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Communication / Bachelor of Science",Course,"Queensland University of Technology (QUT)","AUD 148,400.00","Brisbane Campus,Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Creative Industries",Course,"Queensland University of Technology (QUT)","AUD 95,400.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Creative Industries / Bachelor of Laws (Honours)",Course,"Queensland University of Technology (QUT)","AUD 169,400.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Creative Industries/Bachelor of Human Services",Course,"Queensland University of Technology (QUT)","AUD 126,000.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Creative Industries/Bachelor of Information Technology",Course,"Queensland University of Technology (QUT)","AUD 136,800.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Design",Course,"Queensland University of Technology (QUT)","AUD 108,300.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Business / Bachelor of Creative Industries",Course,"Queensland University of Technology (QUT)","AUD 126,000.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Business / Bachelor of Design",Course,"Queensland University of Technology (QUT)","AUD 155,520.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Business / Bachelor of Design (Architecture)",Course,"Queensland University of Technology (QUT)","AUD 151,200.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Business / Bachelor of Engineering (Honours)",Course,"Queensland University of Technology (QUT)","AUD 183,000.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Business / Bachelor of Information Technology",Course,"Queensland University of Technology (QUT)","AUD 133,600.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Business / Bachelor of Mathematics",Course,"Queensland University of Technology (QUT)","AUD 132,000.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Business /Bachelor of Games and Interactive Environments",Course,"Queensland University of Technology (QUT)","AUD 134,000.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Business/Bachelor of Fine Arts",Course,"Queensland University of Technology (QUT)","AUD 129,200.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Business/Bachelor of Justice",Course,"Queensland University of Technology (QUT)","AUD 125,200.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Business/Bachelor of Laws (Honours)",Course,"Queensland University of Technology (QUT)","AUD 169,400.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Clinical Exercise Physiology",Course,"Queensland University of Technology (QUT)","AUD 146,000.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Clinical Exercise Physiology (Honours)",Course,"Queensland University of Technology (QUT)","AUD 131,700.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Behavioural Science (Psychology)",Course,"Queensland University of Technology (QUT)","AUD 95,100.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Behavioural Science (Psychology) / Bachelor of Business",Course,"Queensland University of Technology (QUT)","AUD 124,400.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Behavioural Science (Psychology) / Bachelor of Social Work",Course,"Queensland University of Technology (QUT)","AUD 157,000.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Behavioural Science (Psychology)/Bachelor of Justice",Course,"Queensland University of Technology (QUT)","AUD 125,600.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Behavioural Science (Psychology)/Bachelor of Laws (Honours)",Course,"Queensland University of Technology (QUT)","AUD 168,850.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Behavioural Science (Psychology)/Bachelor of Social Work (Honours)",Course,"Queensland University of Technology (QUT)","AUD 154,700.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Biomedical Science",Course,"Queensland University of Technology (QUT)","AUD 143,700.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Biomedical Science (Honours)",Course,"Queensland University of Technology (QUT)","AUD 53,000.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Biomedical Science / Bachelor of Business",Course,"Queensland University of Technology (QUT)","AUD 166,800.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Biomedical Science / Bachelor of Laws (Honours)",Course,"Queensland University of Technology (QUT)","AUD 231,000.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Biomedical Science / Bachelor of Mathematics",Course,"Queensland University of Technology (QUT)","AUD 42,200.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Business (Honours)",Course,"Queensland University of Technology (QUT)","AUD 33,000.00","Brisbane Campus","Australian Education",0,0
"Bachelor of Business / Bachelor of Communication",Course,"Queensland University of Technology (QUT)","AUD 125,200.00","Brisbane Campus,Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Behavioural Science (Honours Psychology)",Course,"Queensland University of Technology (QUT)","AUD 31,900.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of Business",Course,"APEX Australia Higher Education","AUD 60,250.00","Sydney Campus,Melbourne Campus","Australian Education",0,0
"Master of Professional Accounting Services",Course,"Australian National Institute of Management and Commerce(IMC)","AUD 47,840.00","Sydney Campus,Hobart Campus","Australian Education",0,0
"Master of Professional Accounting Services",Course,"Australian National Institute of Management and Commerce(IMC)","AUD 47,840.00","Sydney Campus,Hobart Campus","Australian Education",0,0
"Nomination Application",Immigration,"Department of Home Affairs (DoHA)","AUD 0.00",Australia,"VISA Service",11,6
"Master of Public and Social Policy",Course,"Macquarie University (MQ)","AUD 37,500.00","North Ryde Campus","Australian Education",0,0
"Master of Science (Agriculture and Food Security)",Course,"Curtin University","AUD 81,131.00","Bentley Campus","Australian Education",0,0
"Master of Business (Marketing)",Course,"Deakin University","AUD 87,200.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Information Technology",Course,"Academies Australasia Polytechnic (AAPoly)","AUD 40,800.00","Melbourne Bourke St Campus,Sydney Campus,Perth Campus,Melbourne Campus","Accomodation Service,Australian Education,Insurance Service,VISA Service",2,2
"BSB60420: Advanced Diploma of  Leadership and Management","VET Course","Harbourside Institute of Australia","AUD 0.00","Ultimo Campus","Australian Education",0,0
"BSB50420: Diploma of Leadership and  Management","VET Course","Harbourside Institute of Australia","AUD 0.00","Ultimo Campus","Australian Education",0,0
"Master of Teaching (Early Childhood)",Course,"Holmes Institute","AUD 54,250.00","Sydney Campus,Melbourne Campus","Australian Education",0,0
"Graduate Diploma in Information Technology",Course,"Wentworth Institute of Higher Education","AUD 23,600.00","SYDNEY CAMPUS","Australian Education",0,0
"Graduate Certificate in Information Technology",Course,"Wentworth Institute of Higher Education","AUD 11,800.00","SYDNEY CAMPUS","Australian Education",0,0
"Master of Business (1 Year)",Course,"Monash University","AUD 50,000.00","Caulfield Campus","Australian Education",0,0
"Master of Business (1.5 Years)",Course,"Monash University","AUD 0.00","Caulfield Campus","Australian Education",0,0
"Master of Professional Accounting Advanced (MPAA)",Course,"Crown Institute of Higher Education (CIHE)","AUD 40,650.00","Main Campus,ACT	Campus","Australian Education",0,0
"Master of Professional Accounting",Course,"Crown Institute of Higher Education (CIHE)","AUD 30,650.00","Main Campus,ACT	Campus","Australian Education",0,0
"General English 40",Course,"TAFE South Australia","AUD 14,400.00","Adelaide City Campus","Australian Education",0,0
"Certificate III in Meat Processing (Retail Butcher)",Course,"TAFE South Australia","AUD 8,700.00","Regency Park Campus","Australian Education",0,0
"Diploma of Interior Design",Course,"TAFE South Australia","AUD 27,800.00","Tonsley Campus","Australian Education",0,0
"Diploma of Landscape Design",Course,"TAFE South Australia","AUD 19,850.00","Urrbrae Campus","Australian Education",0,0
"Diploma of Leadership and Management",Course,"TAFE South Australia","AUD 6,700.00","Adelaide City Campus","Australian Education",0,0
"Diploma of Live Production and Technical Services",Course,"TAFE South Australia","AUD 21,750.00","Adelaide College of the Arts","Australian Education",0,0
"Diploma of Marketing and Communication",Course,"TAFE South Australia","AUD 13,400.00","Adelaide City Campus","Australian Education",0,0
"Diploma of Nursing",Course,"TAFE South Australia","AUD 25,900.02","Adelaide City Campus,Gilles Plains Campus","Australian Education",0,0
"Diploma of Remedial Massage",Course,"TAFE South Australia","AUD 24,060.00","Adelaide City Campus","Australian Education",0,0
"Diploma of Screen and Media",Course,"TAFE South Australia","AUD 13,900.00","Adelaide College of the Arts","Australian Education",0,0
"Diploma of Software Development",Course,"TAFE South Australia","AUD 13,400.00","Adelaide City Campus","Australian Education",0,0
"Diploma of Travel and Tourism Management",Course,"TAFE South Australia","AUD 13,900.02","Regency Park Campus","Australian Education",0,0
"Diploma of Website Development",Course,"TAFE South Australia","AUD 20,100.00","Adelaide City Campus","Australian Education",0,0
"English for Academic Purposes 20",Course,"TAFE South Australia","AUD 7,199.92","Adelaide City Campus","Australian Education",0,0
"English for Academic Purposes Advanced",Course,"TAFE South Australia","AUD 7,199.92","Adelaide City Campus","Australian Education",0,0
"Diploma of Community Services",Course,"TAFE South Australia","AUD 10,449.99","Adelaide City Campus","Australian Education",0,0
"Diploma of Conservation and Land Management",Course,"TAFE South Australia","AUD 9,450.00","Urrbrae Campus","Australian Education",0,0
"Diploma of Dental Technology",Course,"TAFE South Australia","AUD 40,300.00","Gilles Plains Campus","Australian Education",0,0
"Diploma of Digital Media Technologies",Course,"TAFE South Australia","AUD 20,100.00","Adelaide City Campus","Australian Education",0,0
"Diploma of Early Childhood Education and Care",Course,"TAFE South Australia","AUD 24,870.00","Regency Park Campus","Australian Education",0,0
"Diploma of Electronics and Communications Engineering",Course,"TAFE South Australia","AUD 26,650.02","Regency Park Campus","Australian Education",0,0
"Diploma of Engineering - Technical",Course,"TAFE South Australia","AUD 13,500.00","Regency Park Campus","Australian Education",0,0
"Diploma of Event Management",Course,"TAFE South Australia","AUD 13,399.98","Regency Park Campus","Australian Education",0,0
"Diploma of Food Science and Technology",Course,"TAFE South Australia","AUD 9,300.00","Regency Park Campus","Australian Education",0,0
"Diploma of Graphic Design",Course,"TAFE South Australia","AUD 14,400.00","Adelaide College of the Arts","Australian Education",0,0
"Diploma of Horticulture",Course,"TAFE South Australia","AUD 18,850.00","Urrbrae Campus","Australian Education",0,0
"Diploma of Hospitality Management",Course,"TAFE South Australia","AUD 5,150.01","Regency Park Campus","Australian Education",0,0
"Diploma of Information Technology Networking",Course,"TAFE South Australia","AUD 13,400.00","Adelaide City Campus","Australian Education",0,0
"Certificate IV in Leadership and Management",Course,"TAFE South Australia","AUD 6,700.00","Adelaide City Campus","Australian Education",0,0
"Certificate IV in Live Production and Technical Services",Course,"TAFE South Australia","AUD 14,550.00","Adelaide College of the Arts","Australian Education",0,0
"Certificate IV in Massage Therapy",Course,"TAFE South Australia","AUD 8,060.01","Adelaide City Campus","Australian Education",0,0
"Certificate IV in Patisserie",Course,"TAFE South Australia","AUD 10,800.00","Regency Park Campus","Australian Education",0,0
"Certificate IV in Preparation for Health and Nursing Studies",Course,"TAFE South Australia","AUD 6,700.00","Adelaide City Campus","Australian Education",0,0
"Certificate IV in Visual Arts",Course,"TAFE South Australia","AUD 13,100.00","Adelaide College of the Arts","Australian Education",0,0
"Diploma of Accounting",Course,"TAFE South Australia","AUD 20,850.00","Adelaide City Campus","Australian Education",0,0
"Diploma of Automotive Technology",Course,"TAFE South Australia","AUD 8,700.00","Regency Park Campus","Australian Education",0,0
"Diploma of Beauty Therapy",Course,"TAFE South Australia","AUD 22,300.02","Adelaide City Campus","Australian Education",0,0
"Diploma of Building and Construction (Building)",Course,"TAFE South Australia","AUD 25,300.00","Tonsley Campus","Australian Education",0,0
"Diploma of Building Design",Course,"TAFE South Australia","AUD 26,800.00","Tonsley Campus","Australian Education",0,0
"Diploma of Business Administration",Course,"TAFE South Australia","AUD 6,700.00","Adelaide City Campus","Australian Education",0,0
"Certificate IV in Beauty Therapy",Course,"TAFE South Australia","AUD 16,900.00","Adelaide City Campus","Australian Education",0,0
"Certificate IV in Building and Construction (Building)",Course,"TAFE South Australia","AUD 13,900.00","Tonsley Campus","Australian Education",0,0
"Certificate IV in Building and Construction (Estimating)",Course,"TAFE South Australia","AUD 13,900.00","Tonsley Campus","Australian Education",0,0
"Certificate IV in Building and Construction (Site Management)",Course,"TAFE South Australia","AUD 13,900.00","Tonsley Campus","Australian Education",0,0
"Certificate IV in Building Design Drafting",Course,"TAFE South Australia","AUD 13,900.00","Tonsley Campus","Australian Education",0,0
"Certificate IV in Business Administration",Course,"TAFE South Australia","AUD 6,700.00","Adelaide City Campus","Australian Education",0,0
"Certificate IV in Commercial Cookery",Course,"TAFE South Australia","AUD 10,300.00","Regency Park Campus","Australian Education",0,0
"Certificate IV in Community Services",Course,"TAFE South Australia","AUD 10,449.99","Regency Park Campus","Australian Education",0,0
"Certificate IV in Cyber Security",Course,"TAFE South Australia","AUD 13,900.00","Adelaide City Campus","Australian Education",0,0
"Certificate IV in Hospitality",Course,"TAFE South Australia","AUD 8,200.00","Regency Park Campus","Australian Education",0,0
"Certificate IV in Information Technology",Course,"TAFE South Australia","AUD 13,400.00","Adelaide City Campus","Australian Education",0,0
"Certificate IV in Kitchen and Bathroom Design",Course,"TAFE South Australia","AUD 14,400.00","Tonsley Campus","Australian Education",0,0
"Certificate III in Engineering - Technical",Course,"TAFE South Australia","AUD 7,000.00","Regency Park Campus","Australian Education",0,0
"Certificate III in Events",Course,"TAFE South Australia","AUD 6,700.00","Regency Park Campus","Australian Education",0,0
"Certificate III in Hairdressing",Course,"TAFE South Australia","AUD 19,699.98","Adelaide City Campus","Australian Education",0,0
"Certificate III in Hospitality",Course,"TAFE South Australia","AUD 10,900.00","Regency Park Campus","Australian Education",0,0
"Certificate III in Individual Support",Course,"TAFE South Australia","AUD 7,500.00","Adelaide City Campus","Australian Education",0,0
"Certificate III in Information, Digital Media and Technology",Course,"TAFE South Australia","AUD 6,700.00","Adelaide City Campus","Australian Education",0,0
"Certificate III in Laboratory Skills",Course,"TAFE South Australia","AUD 9,800.00","Gilles Plains Campus","Australian Education",0,0
"Certificate III in Light Vehicle Mechanical Technology",Course,"TAFE South Australia","AUD 16,500.00","Regency Park Campus","Australian Education",0,0
"Certificate III in Live Production and Services",Course,"TAFE South Australia","AUD 7,350.00","Adelaide College of the Arts","Australian Education",0,0
"Certificate III in Patisserie",Course,"TAFE South Australia","AUD 15,000.00","Regency Park Campus","Australian Education",0,0
"Certificate III in Tourism",Course,"TAFE South Australia","AUD 7,200.00","Regency Park Campus","Australian Education",0,0
"Certificate III in Travel",Course,"TAFE South Australia","AUD 9,800.00","Regency Park Campus","Australian Education",0,0
"Certificate IV in Automotive Mechanical Diagnosis",Course,"TAFE South Australia","AUD 8,750.00","Regency Park Campus","Australian Education",0,0
"Associate Degree in Civil and Structural Engineering (Site Management)",Course,"TAFE South Australia","AUD 36,000.00","Tonsley Campus","Australian Education",0,0
"Associate Degree in Electrical Engineering",Course,"TAFE South Australia","AUD 35,500.00","Tonsley Campus","Australian Education",0,0
"Associate Degree in Electronic Engineering",Course,"TAFE South Australia","AUD 35,500.00","Regency Park Campus","Australian Education",0,0
"Bachelor of Tourism, Hospitality and Events Management",Course,"TAFE South Australia","AUD 45,000.00","Regency Park Campus","Australian Education",0,0
"Certificate III in Baking",Course,"TAFE South Australia","AUD 15,550.02","Regency Park Campus","Australian Education",0,0
"Certificate III in Barbering",Course,"TAFE South Australia","AUD 16,000.00","Adelaide City Campus","Australian Education",0,0
"Certificate III in Beauty Services",Course,"TAFE South Australia","AUD 8,800.00","Adelaide City Campus","Australian Education",0,0
"Certificate III in Business",Course,"TAFE South Australia","AUD 6,700.00","Adelaide City Campus","Australian Education",0,0
"Certificate III in Business Administration",Course,"TAFE South Australia","AUD 6,700.00","Adelaide City Campus","Australian Education",0,0
"Certificate III in Commercial Cookery",Course,"TAFE South Australia","AUD 15,000.00","Regency Park Campus","Australian Education",0,0
"Certificate III in Conservation and Land Management",Course,"TAFE South Australia","AUD 10,450.00","Urrbrae Campus","Australian Education",0,0
"Certificate III in Early Childhood Education and Care",Course,"TAFE South Australia","AUD 12,470.00","Regency Park Campus","Australian Education",0,0
"Advanced Diploma of Accounting",Course,"TAFE South Australia","AUD 7,050.00","Adelaide City Campus","Australian Education",0,0
"Advanced Diploma of Applied Fashion Design and Merchandising",Course,"TAFE South Australia","AUD 28,800.00","Adelaide City Campus","Australian Education",0,0
"Advanced Diploma of Graphic Design",Course,"TAFE South Australia","AUD 14,400.00","Adelaide College of the Arts","Australian Education",0,0
"Advanced Diploma of Hospitality Management",Course,"TAFE South Australia","AUD 8,200.00","Regency Park Campus","Australian Education",0,0
"Advanced Diploma of Oral Health (Dental Hygiene)",Course,"TAFE South Australia","AUD 66,400.00","Gilles Plains Campus","Australian Education",0,0
"Advanced Diploma of Screen and Media",Course,"TAFE South Australia","AUD 13,900.00","Adelaide College of the Arts","Australian Education",0,0
"Associate Degree in Biomedical Engineering",Course,"TAFE South Australia","AUD 35,500.00","Regency Park Campus","Australian Education",0,0
"Associate Degree in Civil and Structural Engineering (Design Drafting)",Course,"TAFE South Australia","AUD 36,000.00","Tonsley Campus","Australian Education",0,0
"Bachelor of Business (Digital Future)",Course,"University of the Sunshine Coast (USC)","AUD 75,000.00","UniSC Sunshine Coast,USC Moreton Bay Campus","Australian Education",0,0
"Certificate IV in Kitchen Management",Course,"Acumen Education","AUD 19,500.00","City Campus (Melbourne),Richmond Campus Building A,Collingwood Campus,Richmond Campus Building B,Sunshine West Campus,Geelong Campus","Accomodation Service,Australian Education,Insurance Service,VISA Service",0,0
"Master of Engineering (Civil Engineering)",Course,"University of Wollongong (UOW)","AUD 80,544.00","Wollongong Campus","Australian Education",0,0
"Master of Cyber Security",Course,"Holmes Institute","AUD 48,250.00","Melbourne Campus","Australian Education",0,0
"Master of Cybersecurity and Computing",Course,"University of New England (UNE)","AUD 67,658.00","Armidale Campus,Sydney Campus","Australian Education",0,0
"Bachelor of Engineering Science in Software Engineering",Course,"University of Technology Sydney (UTS)","AUD 151,200.00","UTS Campus","Australian Education",0,0
"Bachelor of Business (Information Systems)",Course,"Torrens University Australia (TUA)","AUD 80,280.00","Torrens University Australia - Adelaide,Fortitude Valley Campus (Brisbane),Surry Hills, Central Sydney campus,Flinders Street Campus (Melbourne)","Australian Education",0,0
"Master of Naturopathic Medicine",Course,"Southern Cross University (SCU)","AUD 63,840.00","Lismore Campus,Gold Coast Campus","Australian Education",0,0
"Bachelor of Business and Enterprise (Aviation Management)",Course,"Southern Cross University (SCU)","AUD 92,496.00","Gold Coast Campus","Australian Education",0,0
"Bachelor of Business and Enterprise (Financial Services)",Course,"Southern Cross University (SCU)","AUD 92,496.00","Gold Coast Campus","Australian Education",0,0
"Bachelor of Education (Early Childhood/Primary Specialisation)",Course,"Southern Cross University (SCU)","AUD 123,328.00","Gold Coast Campus","Australian Education",0,0
