"Partner Name",Email,"Primary Contact",Phone,Street,City,State,"Post Code",Country,"Currency Code","Partner Category",Workflow,Products,Enrolled,"In Progress"
"ECA Professional Year",py@eca.edu.au,,61283192171,"Level 4, 1-3 Fitzwilliam S",Parramatt,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",4,1,0
"Victorian Institute of Education",info@vie.edu.au,,610280317727,"95 Bathurst Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",22,0,0
"Macquarie University (MQ)",mqinfo@mq.edu.au,,"(02) 9850 7346","Balaclava Roads","Macquarie Park","New South Wales",2109,Australia,AUD,University,"Australian Education",224,0,0
"Swinburne University of Technology",asmith@swin.edu.au,"Lina Wang","(03) 9214 5351","John St",Hawthorn,Victoria,3122,Australia,AUD,University,"Australian Education",311,7,2
"UOW College",futurestudents@uow.edu.au,,61242213218,"Building 30, Northfields Avenue",Keiraville,"New South Wales",2522,Australia,AUD,"Training Center","Australian Education",19,2,1
"Wells International College",info@wic.edu.au,,61292834388,"LG, 101 Sussex Street",Sydney,"New South Wales",2000,Australia,AUD,College,"Australian Education",14,0,0
"Choice Business College (CBC)",info@cbc.edu.au,,"(02) 9630 6999","G104/G105 Australia Fair",Southport,Queensland,4215,Australia,AUD,Institution,"Australian Education",11,3,0
"WIN College",info-george@win.edu.au,,61282529979,"Level 7, 451 Pitt Street",Haymarket,"New South Wales",2000,Australia,AUD,College,"Australian Education",22,2,0
"AIM Institute of Health and Sciences",Enquiries@aiminstitute.edu.au,,61262305153,"Level 1, 48 Mort Street",Braddon,"Australian Capital Territory",2612,Australia,AUD,"Training Center","Australian Education",11,0,0
"Macallan College",perth@macallan.edu.au,,"(07) 3124 6163","Level 3, 440 Williams Street",Perth,"Western Australia",6000,Australia,AUD,Institution,"Australian Education",15,66,38
"Canterbury Institute of management (CIM)",info@ciom.edu.au,"Nisha (Marketing Manager )","(02) 8007 5846","41 McLaren St","North Sydney","New South Wales",2060,Australia,AUD,Institution,"Australian Education",8,26,9
"Campbell Institute",info@campbellinstitute.edu.au,"Harpreet SINGH",+61481121578,"Lower Ground 121 Queen St",CAMPBELLTOWN,"New South Wales",2560,Australia,AUD,College,"Australian Education",10,21,11
"Unity College Australia",info@unity.edu.au,,61261610050,"Level 1 Belconnen Churches Centre 
54 Benjamin Way",Belconnen,"Australian Capital Territory",2616,Australia,AUD,Institution,"Australian Education",6,0,0
"Wentworth Institute of Higher Education",info@win.edu.au,"Nancy XU","(02) 8252 9999","302-306 Elizabeth St","Surry Hills","New South Wales",2010,Australia,AUD,Institution,"Australian Education",18,26,9
"IKON Institute of Australia",info@ikoninstitute.com.au,"Tammy Vo",1300000933,"Level 3,127 Rundle Mall",Adelaide,"South Australia",5000,Australia,AUD,Institution,"Australian Education",7,87,41
"Western Sydney University (WSU)",study@westernsydney.edu.au,"Simon Wang (WSU Sydney Campus only)","(02) 9852 5222","Second Avenue",Kingswood,"New South Wales",2747,Australia,AUD,University,"Australian Education",762,42,15
"University of Wollongong (UOW)",future-students@uow.edu.au,,"(02) 4221 5422","Northfields Avenue",Wollongong,"New South Wales",2522,Australia,AUD,University,"Australian Education",143,8,2
"Stott's College",enquiries@ae.edu.au,,"(03) 9663 3399","168 Exhibition Street",Melboune,Victoria,3053,Australia,AUD,Institution,"Australian Education",25,37,23
"Performance Education",info@performance.edu.au,,61296195350,"Level 6, 11 – 31 York Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",3,12,9
"Sydney City College of Management (SCCM)",info@sccm.edu.au,,"61 2 8872 0435","Level 2, 17 Macquarie St",Parramatta,"New South Wales",2150,Australia,AUD,Institution,"Australian Education",28,3,1
"Australian Education Counsel",Accounts@australianeducationcounsel.com.au,,"483 816 019",,,,,,AUD,"Training Center","RPL Assessment ",5,8,1
"Kingsford International Institute (KII)",info@kii.edu.au,,"(02) 8599 9800","Level 6, 128-136 Chalmers Street","Surry Hills","New South Wales",2010,Australia,AUD,Institution,"Australian Education",16,6,2
"Austrasia College ",admissions@austrasia.edu.au,"Jason Shen",61280660278," Level 5, 410-412 Elizabeth Street","Surry Hills","New South Wales",2010,Australia,AUD,College,"Australian Education",8,5,1
"Key 2 Learning College",office@key2learning.edu.au,"  Aloma Bao",61261300100,"Block A, Canberra Technology Park, 49 Phillip Avenue ",Watson,"Australian Capital Territory",2602,Australia,AUD,"Training Center","Australian Education",8,5,0
"Lennox College",info@lennoxcollege.edu.au,,1300130666,"Level 4, 260 La Trobe Street ",Melbourne,Victoria,3000,Australia,AUD,"Training Center","Australian Education",16,1,0
"University of New England (UNE)",vcrew@une.edu.au,,"(02) 6773 3192","Elm avenue",Armidale,"New South Wales",2351,Australia,AUD,University,"Australian Education",133,2,1
"Crown Institute of Business and Technology (CIBT)",info@cibt.nsw.edu.au,,"(02) 9955 0488","116 Pacific Highway","North Sydney","New South Wales",2060,Australia,AUD,Institution,"Australian Education",19,3,0
"Tas College",info@tascollege.edu.au,,61362955296,"Unit 1, Level 1/86 Collins St",Hobart,Tasmania,7000,Australia,AUD,Institution,"Australian Education",13,3,1
"Training for Knowledge and Livelihood (TKL)",info@tkl.edu.au,,61286773602,"Suite 707, Level 7 Westfield Shopping Centre",Parramatta,"New South Wales",2150,Australia,AUD,Institution,"Australian Education",20,10,2
"International Training Education Counsel (ITEC)",info@itecounsel.com,,"1300 535 922","13/341 Crown Street",Wollongong,"New South Wales",2500,Australia,AUD,"Training Center","RPL Assessment ",11,12,1
"Torrens University Australia (TUA)",intadmissions@laureate.net.au,"Harley Campos","0478 333 273","540 George Street, Level 4 and 5",Sydney,"New South Wales",2000,Australia,AUD,University,"Australian Education",191,105,56
"Australian Institute of Higher Education",marketing@aih.nsw.edu.au,"Rishi Ranjan","(02) 9020 8050","Level 3 & 4/545 Kent St",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",14,36,13
"Australian Technical And Management College (ATMC)",info@atmc.edu.au,,"(03) 8327 3100","Level 10, 399 Lonsdale Street",Melbourne,Victoria,3000,Australia,AUD,Institution,"Australian Education",20,7,3
VETASSES,info@vetasses.gov.au,,,,,,,,AUD,Government,"SKILL ASSESSMENT",1,41,26
BUPA,info@bupa.com.au,,,,,,,,AUD,"Insurance Provider","Insurance Service",0,0,0
"Trinity Institute (Australia)",info@trinityinstitute.edu.au,,"0431 160 297","Level 1, 43 Hunter Street",Parramatta,"New South Wales",2150,Australia,AUD,Institution,"Australian Education",24,12,5
"Australian National Education",sydney.campus@ane.edu.au,,61292815929,"Level 6, 8 – 24 Kippax Street","Surry Hills","New South Wales",2010,Australia,AUD,Institution,"Australian Education",5,1,0
"Australian Catholic University (ACU)",askacu@acu.edu.au,,"(02) 9739 2368","40 Edward Street","North Sydney","New South Wales",2060,Australia,AUD,University,"Australian Education",609,26,8
"Australian College of Community and Health Services",info@acchs.edu.au,,"(02) 8005 0010","Suite 102, Level 1 30 Cowper Street",Sydney,"New South Wales",2150,Australia,AUD,College,"Australian Education,RPL Assessment ",9,13,5
"Queensford College",info@queensford.edu.au,,"(07) 3221 1626","Level 2, 3 and 4 359 Queen Street",Brisbane,Queensland,4000,Australia,AUD,Institution,"Australian Education",25,6,4
"SAE Institute",byronbay@sae.edu,,61266396000,"373-391 Ewingsdale Road ","Byron Bay","New South Wales",2481,Australia,AUD,"Training Center","Australian Education",26,2,1
"Australian Business and Culinary Institute",info@abcinstitute.edu.au,,"08 8311 1394","Level 1, 142 North Terrace",Adelaide,"South Australia",5000,Australia,AUD,Institution,"Australian Education",5,0,0
"Royal Greenhill Institute of Technology",admin@rgit.edu.au,,61386399000,"28-32 Elizabeth Street",Melbourne,Victoria,3000,Australia,AUD,"Training Center","Australian Education",28,0,0
"Indus Institute",info@indusinstitute.com.au,,"(07) 3036 3850","Level 18, 127 Creek Street",Brisbane,Queensland,+61,Australia,AUD,Institution,"Australian Education",5,1,1
"Australian Learning Group",info@alg.edu.au,"Adam Davis (ALG and IKON)",61291124500,"Level 1, 333 Kent Street",Sydney,"New South Wales",2000,Australia,AUD,"Training Center","Australian Education",33,28,9
"New Era Institute (NEI)",info@newerainstitute.com.au,,610289646457,"Suite 13 and 14, 100 George Street",Windsor,"New South Wales",2756,Australia,AUD,Institution,"Australian Education",27,21,12
"Australian Harbour International College (AHIC)",admissions@ahic.edu.au,,"2 9268 0085","114-120 Castlereagh Street,",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education,Insurance Service,VISA Service",25,9,6
"Australian Child Care Career Options (ACCCO)",international@accco.com.au,,"(07) 3257 1972","161 Brunswick Street","Fortitude Valley",Queensland,4006,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",4,0,0
"Australian Centre of Further Education (ACFE)",info@acfe.edu.au,,"0404 056 792","Level 4 & 5, 341 Queen Street",Melbourne,Victoria,3000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",19,5,0
"Australian Careers Education",info@ace.vic.edu.au,,"(03) 9380 1414","347-351 Victoria St",Brunswick,Victoria,3056,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",9,0,0
"Australian Careers College (ACC)",info@accollege.edu.au,,"(08) 8981 9619","Unit 1, 48 Woods Street",Darwin,"Northern Territory",800,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",7,0,0
"Australian Careers Business College",info@acbc.nsw.edu.au,,"(02) 9824 0000","28 Memorial Avenue",Liverpool,"New South Wales",2170,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",9,0,0
"Australian Capital Training Institute (ACTI)",info@actitraining.com.au,,"(02) 6176 3411","26 Mort St",Braddon,"Australian Capital Territory",2612,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",4,0,0
"Australian Capital College",info@capital.edu.au,,"(02) 6147 0999","Level 2, 17 University Ave",Canberra,"Australian Capital Territory",2601,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",4,0,0
"Australian Adelaide International College (AAIC)",info@aaic.edu.au,,"(08) 8232 7788","Level 1,135 Pirie Street",Adelaide,"South Australia",5000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",8,0,0
"Australian Academy of Management & Science (AAM)",info@aams.nsw.edu.au,,"(02) 9837 4213","Shop 2,14 - 18 Douglas Road","Quakers Hill","New South Wales",2763,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",6,0,0
"Australian Academy of Commerce (AAC)",info@aac.nsw.edu.au,,"(02) 9211 1113","Levels 8 & 9, 140 Elizabeth St",SYDNEY,"New South Wales",2002,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",18,0,0
"Australian Academy of Business and Technology (AABT)",admissions@aabt.edu.au,,"(03) 9078 6670","Level 3 382 Lonsdale St",Melbourne,Victoria,3000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",4,0,0
"Australia-International Institute of Workplace Training (AIWT)",yvonne@aiwt.edu.au,,"61 8 9249 9688","823 Wellington Street","West Perth","Western Australia",6005,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",14,0,0
"Australia Unity Institute of Technology (AUIT)",info@auit.edu.au,,"1300 417 668","Level 6, 119 Charlottle Street","Brisbane City",Queensland,4000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",1,0,0
"Australia National Institute of Business (ANIB)",info@anib.qld.edu.au,,"(07) 3891 7912","1A Hubert Street",Woolloongabba,Queensland,4102,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",8,0,0
"Australia Institute of Business and Technology (AIBT)",studentsupport@aibtglobal.edu.au,,"1300 128 199","Level 1 - 3, 18 Mount Gravatt-Capalaba Road",Brisbane,Queensland,4122,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",14,2,0
"Australasian Lawrence Aged Care College",info@alacchealth.edu.au,,"(03) 9480 4445","169 Plenty Road",Preston,Victoria,3073,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",18,0,0
"Australasian International Academy (AIA)",admissions@aiacademy.edu.au,,"0412 615 728","3 Columbia Court","Baulkham Hills","New South Wales",2153,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",19,0,0
"Australasian College of Natural Therapies (ACNT)",info@atms.com.au,,611300575803,"90 Bowen Terrace","Fortitude Valley",Queensland,4006,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",4,0,0
"Australasian College of Care Leadership and Management (ACCLM)",info@acclm.edu.au,,"1800 875 725","Level 3/126 Margaret Street",Brisbane,Queensland,4000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",4,0,0
"Austral College of Technology",admin@australcollege.vic.edu.au,,610390881668,"Level 2, 382 Lonsdale Street",Melbourne,Victoria,3000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",4,0,0
"Atlantis College of Management",info@atlantis.edu.au,,610396147857,"Level 14, 474 Flinder Street",Melbourne,Victoria,3030,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",11,0,0
"Astute Training",reception@astutetraining.com.au,,"(02) 4732 5088","1/505 - 507 High Street",Penrith,"New South Wales",2750,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",8,0,0
"Astral Skills Institute of Australia",info@asia.edu.au," Anil Patel",61246089972,"Level-6, Suite 6.01/138 Queen Street",Campbelltown,"New South Wales",2560,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",6,0,0
"Astley English College",info@astleycollege.nsw.edu.au,,"(02) 8866 4770","72 Mary Street","Surry Hills","New South Wales",2010,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",3,1,0
"Aspen College",info@aspencollege.edu.au,"Samir Suxena","(08) 7228 5424","Level 6,118 King William Street",Adelaide,"South Australia",5000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",11,3,2
"ASMI College",info@howardcollege.edu.au,,"(02) 8750 2821","Suite 1 & 2, Level 1, 224-238 George Street",Liverpool,"New South Wales",2170,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",3,0,0
"Asia Pacific International College (APIC)",programs@apicollege.edu.au,,"(02) 9318 8177","Level 1, 55 Regent Street",Chippendale,"New South Wales",2008,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",15,18,4
"Ashton College",info@ashtoncollege.edu.au,,"(03) 9349 2488","213 Nicholson Street",Footscray,Victoria,3011,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",14,0,0
"Ashley English Language Institute",admissions@ashley.nsw.edu.au,,"(02) 9994 0882","Level 2, 16-22 Wentworth Ave","Surry Hills","New South Wales",2010,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",5,12,8
"ARC Training",info@arcgroup.com.au,,61288333999,"Level 9, 79 George Street",Parramatta,"New South Wales",2150,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",26,0,0
"Aquinas College (Victoria)",principal@aquinas.vic.edu.au,,61392593000,"46 Great Ryrie Street",Melbourne,Victoria,3134,Australia,AUD,College,"Accomodation Service,Australian Education,Insurance Service,VISA Service",6,0,0
"Apsley College",info@apsley.nsw.edu.au,"Anil Patel",610296332779,"Suite 8, 8-10 Hunter Street",Parramatta,"New South Wales",2150,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",5,0,0
"Apple Study Group",rao@ssbt.nsw.edu.au,,"(02) 9249 7800","Level 2, 600 George Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",3,0,0
"Apex Australia Vocational Education",info@apexaustralia.edu.au,,"02 8007 6262","Level 3, 22-26 Goulburn Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",22,1,0
"Apeiro Institute",info@apeiro.com.au,"Luma ARANTES","(08) 6558 0340","Level 1, 10 Victoria Ave",Perth,"Western Australia",6000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",13,12,4
"AOI Institute",admissions@aoi.edu.au,,"(03) 9662 1401","108 Bourke Street",Melbourne,Victoria,3000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",6,0,0
"Angad Australian Institute of Technology",info@angad.vic.edu.au,,"(03) 9670 9095","Level 6, 501 Latrobe St",Melbourne,Victoria,3000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",11,0,0
"Amity College",intstudent@amity.nsw.edu.au,,61287843111,"163 Kurrajong Road",Sydney,"New South Wales",2170,Australia,AUD,College,"Accomodation Service,Australian Education,Insurance Service,VISA Service",13,0,0
"American College",admin@americancollege.edu.au,,"(07) 3391 7599","180 Logan Road",Woolloongabba,Queensland,4102,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",7,0,0
"Ambridge Institute",enquiries@ambridge.edu.au,,"(02) 9169 6878","Level 5, 55 Market Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",4,0,0
"AMA College",enrolments@amacollege.edu.au,,"(08) 9273 3033","57 Shenton Ave",Joondalup,"Western Australia",6027,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",1,0,0
"Alphacrucis University College",info@ac.edu.au,"Cristina Iordache Yeo","1300 228 355","30 Cowper Street",Paramatta,"New South Wales",2150,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",43,20,4
"Alpha International College Australia",alphatrainingcollege@gmail.com,,"(03) 8390 1019","Level 8, 500 Collins St",Melbourne,Victoria,3000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",5,0,0
"Alpha Institute",info@alphainstitute.edu.au,,"(04) 2626 1343","17 Oatley Ct",Belconnen,"Australian Capital Territory",2617,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",6,0,0
"All Saints Anglican School",mbartlett@asas.qld.edu.au,,61755302855,"Highfield Dr",Merrimac,Queensland,4226,Australia,AUD,School,"Accomodation Service,Australian Education,Insurance Service,VISA Service",13,0,0
"Albright Institute of Business and Language",info@albrightinstitute.edu.au,,"1300 189 154","Level 8,341-345 Queen St",Melbourne,Victoria,3000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",21,1,1
"Alana Kaye College",training@alanakaye.edu.au,,"(08) 8942 6100","4 Shepherd St",Darwin,"Northern Territory",800,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",10,0,0
"Airwork Helicopters",admin@airwork.com.au,,"61 (07) 5495 8000","5/19 Lear Jet Drive",Caboolture,Queensland,4510,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",1,0,0
"Airways Aviation",h.tierney@airwaysaviation.com,,"(07) 5599 3445","Hangar 51 Lores Bunney Circuit",Bilinga,Queensland,4225,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",3,0,0
"Air Gold Coast",manager@aviationstudycentre.com,,"(07) 5536 2822","34 Eastern Avenue, Gold Coast Airport",Bilinga,Queensland,4225,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",2,0,0
"AIBI Higher Education",info@aibihe.edu.au,,61299697054,"Suite 510, 451 Pitt St",Sydney,"New South Wales",2000,Australia,AUD,College,"Accomodation Service,Australian Education,Insurance Service,VISA Service",2,0,0
"AHTS Training and Education (AHTS)",eva@ahts.sa.edu.au,,"(08) 8223 1818","Level 2,97 Pirie Street",Adelaide,"South Australia",5000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",10,0,0
"AH & B College",admin@ahbc.com.au,,"(02) 9389 0771","Level 1, Royal Arcade
175-181 Oxford Street","Bondi Junction","New South Wales",2022,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",10,0,0
"Aeropower Flight School",fly@aeropowerflightschool.com.au,,"(07) 3385 9500","Hangar 14B, Redcliffe Aerodome, Nathan Road","Kippa Ring",Queensland,4022,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",2,0,0
"Advance English",info@advanceenglish.com.au,,"(02) 8214 2513","Level 1,16-22 Wentworth Ave","Surry Hills","New South Wales",2010,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",2,0,0
"Adelaide International School",info@ais.edu.au,,61881231786,"Level 4, 127 Rundle Mall",Adelaide,"South Australia",5000,Australia,AUD,School,"Accomodation Service,Australian Education,Insurance Service,VISA Service",1,0,0
"Adelaide Institute of Higher Education (AIHE)",info@aihe.sa.edu.au,,"(08) 8470 0156","Level 5,127 Rundle Mall Street",Adelaide,"South Australia",5000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",2,0,0
"Adelaide Institute of Business and Technology",info@aibt.edu.au,,"(08) 8212 0990","Levels 4 & 5,127 Rundle Mall",Adelaide,"South Australia",5000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",10,0,0
"Austra College",info@acte.sa.edu.au,,"08 8410 9915","Suite 2, Level 4, 97 Pirie Street",Adelaide,"South Australia",5000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",10,0,0
"Acumen Education",admissions@acumen.edu.au,,"(03) 8415 1244","5-9 Elizabeth Street",Richmond,Victoria,3121,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",12,0,0
"Actors College of Theatre and Television",info@actt.edu.au,,"02 9281 2400","Level 16,233 Castlereagh street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",10,8,6
"ACT Government Education",ieu@act.gov.au,,61262055429,"220 Northbourne Ave",Braddon,"Australian Capital Territory",2612,Australia,AUD,School,"Accomodation Service,Australian Education,Insurance Service,VISA Service",13,0,0
"Accredited Education & Training Australia (AETA)",info@aeta.vic.edu.au,,"(03) 9310 1650","2/149 Anderson Rd",Sunshine,Victoria,3020,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",7,0,0
"Accountants Resource Centre (ARC)",info@AccountantsRC.com.au,,61398272828,"Suite 1/200 Toorak Road","South Yarra",Victoria,3141,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",14,0,0
"Academy of Music and Performing Arts (AMPA)",admin@ampa.edu.au,,"(02) 9310 3111","136 Chalmers Street","Surry Hills","New South Wales",2010,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",6,0,0
"Academy of Interactive Technology",info@ait.edu.au,,"(02) 9211 8399","Level 2, 7 Kelly Street",Ultimo,"New South Wales",2007,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",17,0,0
"Academy of Entrepreneurs",INFO@AESTUDY.COM,,"61 42 09 555 09","53 Murray Street",Pyrmont,"New South Wales",2009,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",2,0,0
"Academy of Film Theatre and Television (AFTT)",info@aftt.edu.au,,61292812400,"41 Holt Street","Surry Hills","New South Wales",2010,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",3,0,0
"Academy of English",enquiry@aca.edu.sg,,"(02) 9224 5500","Level 6, 505 George Street GND Floor, 333 Kent Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",8,0,0
Academique,info@academique.com.au,,"(07) 5526 3222","46 & 51 Nerang Street",Southport,Queensland,4215,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",11,0,0
"Academies Australasia Polytechnic (AAPoly)",enquiries@aapoly.edu.au,"Serena Gurung","3 8610 4100","Level 7, 628 Bourke St",Melbourne,Victoria,3000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",29,4,3
"Academia International & Academia Australia",melk@academia21.com,,"(03) 9671 4755","399 Lonsdale Street",Melbourne,Victoria,3000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",29,0,0
"Ability English",info@ability.edu.au,,"(02) 9211 4161","10 Quay Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",5,1,1
"VETASSESS - Vocational Education and Training Assessment Services",info@vetassess.com.au,,61396554801,"Level 5, 478 Albert Street",Melbourne,Victoria,3002,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,SKILL ASSESSMENT,VISA Service",15,34,15
"Trades Recognition Australia",traenquiries@dese.gov.au,,61262408778,"50 Marcus Clarke Street",Canberra,"Australian Capital Territory",2601,Australia,AUD,Government,"Australian Education,SKILL ASSESSMENT,VISA Service",33,79,46
"The Speech Pathology Association of Australia Limited",office@speechpathologyaustralia.org.au,,61396424899,"Level 1 / 114 William Street",Melbourne,Victoria,3000,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",2,0,0
"Institute of Public Accountants Ltd",headoffice@publicaccountants.org.au,,61386653100,"Level 6, 555 Lonsdale Street",Melbourne,Victoria,3000,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",8,0,0
"The Institution of Engineers Australia",memberservices@engineersaustralia.org.au,,61262706555,"11 National Circuit",Canberra,"Australian Capital Territory",2600,Australia,AUD,Private,"Insurance Service,SKILL ASSESSMENT,VISA Service",6,12,5
"The Australian Institute of Quantity Surveyors",contact@aiqs.com.au,,61282344000,"Suite 303, Level 3, 70 Pitt Street",Sydney,"New South Wales",2000,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",1,0,0
"Surveying and Spatial Sciences Institute Limited",info@sssi.org.au,,61262822282,"Unit 7, Level 1, 27 – 29 Napier Close",Deakin,"Australian Capital Territory",2600,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",2,0,0
"Institute of Managers and Leaders National",membership@managersandleaders.com.au,,611300661061,"Suite 1.02, Level 1, 50 Carrington Street",Sydney,"New South Wales",2000,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",12,0,0
"Podiatry Board of Australia",podiatrychair@ahpra.gov.au,,61392853010,"Level 7, 111 Bourke Street",Melbourne,Victoria,3000,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",1,0,0
"Optometry Council of Australia and New Zealand Limited",exam.manager@ocanz.org.au,,61396703173,"Collins Street West",Melbourne,Victoria,8007,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",3,0,0
"Dietitians Association of Australia",info@dietitiansaustralia.org.au,,61261891200,"1/8 Phipps Close",Deakin,"Australian Capital Territory",2600,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",12,0,0
"Occupational Therapy Council of Australia Limited",admin@otcouncil.com.au,,61893682655,"68 South Terrace",Perth,"Western Australia",6951,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",7,0,0
"CPA Australia Ltd",memberservice@cpaaustralia.com.au,,61396069677,"Level 20, 28 Freshwater Place","South Bank",Victoria,3006,Australia,AUD,Private,"Accomodation Service,Australian Education,SKILL ASSESSMENT,VISA Service",5,10,4
